Nuclide,C m2 / kg MBq s,f-factor (cGy/R),HVL,QVL,TVL,CVL,MVL,R/s at 1m
Ce-130,6.31E-13,0.945,2.51,9.57,22,55.9,90.8,2.446E-09
Ce-133,7.21E-13,0.944,2.51,7.16,13,27.3,41.2,2.795E-09
Ce-134,1.12E-13,0.923,0.0316,0.0609,0.102,0.322,3.71,4.341E-10
Ce-137,1.25E-13,0.923,0.0366,0.0775,0.361,13.3,31.6,4.845E-10
Ce-141,8.78E-14,0.953,0.249,0.577,0.981,1.96,2.93,3.403E-10
Ce-143,3.58E-13,0.944,1.78,5.16,12.9,36.4,61.6,1.388E-09
Ce-144,2.61E-14,0.945,0.123,0.372,0.709,1.53,2.36,1.012E-10
Ce-146,9.57E-13,0.946,6.22,14.3,25.2,54.5,86.9,3.709E-09
Pr-134,3.40E-12,0.963,6.12,13.3,24.8,61.7,106,1.318E-08
Pr-136,2.27E-12,0.961,7.31,15.4,29.7,76.7,126,8.798E-09
Pr-137,4.57E-13,0.945,4.3,9.85,18.2,51.4,95.3,1.771E-09
Pr-139,2.10E-13,0.931,1.28,6.37,14.2,47.5,91.8,8.140E-10
Pr-146,1.00E-12,0.965,11,24.4,42.9,90,137,3.876E-09
Pr-147,5.86E-13,0.943,4.51,12.8,26.3,65.6,107,2.271E-09
Nd-135,1.44E-12,0.955,3.92,8.84,15.9,42.9,85.5,5.581E-09
Nd-136,3.98E-13,0.938,1.02,6.28,14.8,40.9,73,1.543E-09
Nd-138,1.16E-13,0.926,0.0468,0.104,0.697,6.69,13.5,4.496E-10
Nd-139,5.34E-13,0.947,4.73,10.6,19.8,52.2,90,2.070E-09
Nd-147,1.80E-13,0.943,1.48,5.77,11.9,27.3,43,6.977E-10
Nd-149,4.11E-13,0.956,1.7,4.93,11.6,31.4,54.6,1.593E-09
Nd-151,8.86E-13,0.959,7.92,18.9,33.4,71.1,110,3.434E-09
Nd-152,2.13E-13,0.957,1.04,2.52,4.98,18.6,35.5,8.256E-10
Pm-141,8.18E-13,0.955,5.87,12.4,23.3,64.4,109,3.171E-09
Pm-143,4.03E-13,0.938,5.69,13.5,23,45.9,68,1.562E-09
Pm-144,1.78E-12,0.955,6.34,12.6,20.6,40.5,60.2,6.899E-09
Pm-145,9.23E-14,0.925,0.0418,0.0813,0.136,0.321,0.85,3.578E-10
Pm-148,5.83E-13,0.965,12.1,24.5,41.4,84.2,126,2.260E-09
